iCase,Fr,beta,Cd,alpha_simple,alpha_SRH_2D,bConverged_simple,bConverged_SRH_2D
370.00,0.35,0.75,0.00,0.75,0.75,1.00,1.00
371.00,0.35,0.75,8.89,0.90,0.88,1.00,1.00
372.00,0.35,0.75,17.78,0.93,0.91,1.00,1.00
373.00,0.35,0.75,26.67,0.94,0.92,1.00,1.00
374.00,0.35,0.75,35.56,0.95,0.93,1.00,1.00
375.00,0.35,0.75,44.44,0.95,0.94,1.00,1.00
376.00,0.35,0.75,53.33,0.96,0.94,1.00,1.00
377.00,0.35,0.75,62.22,0.96,0.95,1.00,1.00
378.00,0.35,0.75,71.11,0.96,0.95,1.00,1.00
379.00,0.35,0.75,80.00,0.96,0.95,1.00,1.00
380.00,0.35,0.85,0.00,0.85,0.85,1.00,1.00
381.00,0.35,0.85,8.89,0.95,0.94,1.00,1.00
382.00,0.35,0.85,17.78,0.96,0.95,1.00,1.00
383.00,0.35,0.85,26.67,0.97,0.96,1.00,1.00
384.00,0.35,0.85,35.56,0.97,0.96,1.00,1.00
385.00,0.35,0.85,44.44,0.97,0.97,1.00,1.00
386.00,0.35,0.85,53.33,0.98,0.97,1.00,1.00
387.00,0.35,0.85,62.22,0.98,0.97,1.00,1.00
388.00,0.35,0.85,71.11,0.98,0.97,1.00,1.00
389.00,0.35,0.85,80.00,0.98,0.98,1.00,1.00
390.00,0.35,0.95,0.00,0.95,0.95,1.00,1.00
391.00,0.35,0.95,8.89,0.98,0.98,1.00,1.00
392.00,0.35,0.95,17.78,0.99,0.99,1.00,1.00
393.00,0.35,0.95,26.67,0.99,0.99,1.00,1.00
394.00,0.35,0.95,35.56,0.99,0.99,1.00,1.00
395.00,0.35,0.95,44.44,0.99,0.99,1.00,1.00
396.00,0.35,0.95,53.33,0.99,0.99,1.00,1.00
397.00,0.35,0.95,62.22,0.99,0.99,1.00,1.00
398.00,0.35,0.95,71.11,1.01,0.99,1.00,1.00
399.00,0.35,0.95,80.00,0.99,0.99,1.00,1.00
400.00,0.45,0.05,0.00,0.05,0.05,1.00,1.00
401.00,0.45,0.05,8.89,0.08,0.10,1.00,1.00
402.00,0.45,0.05,17.78,0.09,0.13,1.00,1.00
403.00,0.45,0.05,26.67,0.11,0.15,1.00,1.00
404.00,0.45,0.05,35.56,0.13,0.16,1.00,1.00
405.00,0.45,0.05,44.44,0.15,0.17,1.00,1.00
406.00,0.45,0.05,53.33,0.16,0.19,1.00,1.00
407.00,0.45,0.05,62.22,0.18,0.20,1.00,1.00
408.00,0.45,0.05,71.11,0.19,0.20,1.00,1.00
409.00,0.45,0.05,80.00,0.22,0.21,1.00,1.00
410.00,0.45,0.15,0.00,0.15,0.15,1.00,1.00
411.00,0.45,0.15,8.89,0.28,0.28,1.00,1.00
412.00,0.45,0.15,17.78,0.35,0.34,1.00,1.00
413.00,0.45,0.15,26.67,0.42,0.37,1.00,1.00
414.00,0.45,0.15,35.56,0.46,0.40,1.00,1.00
415.00,0.45,0.15,44.44,0.50,0.42,1.00,1.00
416.00,0.45,0.15,53.33,0.53,0.44,1.00,1.00
417.00,0.45,0.15,62.22,0.56,0.46,1.00,1.00
418.00,0.45,0.15,71.11,0.58,0.47,1.00,1.00
419.00,0.45,0.15,80.00,0.60,0.49,1.00,1.00
420.00,0.45,0.25,0.00,0.25,0.25,1.00,1.00
421.00,0.45,0.25,8.89,0.47,0.43,1.00,1.00
422.00,0.45,0.25,17.78,0.56,0.49,1.00,1.00
423.00,0.45,0.25,26.67,0.63,0.53,1.00,1.00
424.00,0.45,0.25,35.56,0.67,0.56,1.00,1.00
425.00,0.45,0.25,44.44,0.71,0.59,1.00,1.00
426.00,0.45,0.25,53.33,0.73,0.61,1.00,1.00
